1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
535	-0.158258	38.098099	0.012564	2.2
536	-0.185364	38.067075	0.028971	2.0
537	-0.123420	38.036117	0.006672	2.1
538	-0.293563	38.005227	0.060290	1.7
539	-0.256757	37.974404	0.017579	2.0
540	-0.308382	37.943647	0.046460	1.8
541	-0.103202	37.912956	0.018373	1.7
542	-0.385651	37.882332	0.018693	2.0
543	-0.148767	37.851774	0.025023	2.1
544	-0.067282	37.821281	0.028428	2.0
545	-0.320416	37.790853	0.016887	2.0
546	-0.204605	37.760491	0.027263	2.0
547	-0.252744	37.730194	0.012988	2.1
548	-0.244158	37.699961	0.016458	1.7
549	-0.093070	37.669793	0.009595	1.8
550	-0.299789	37.639690	0.025336	2.3
551	-0.170834	37.609650	0.016147	2.0
552	-0.307863	37.579674	0.026688	2.2
553	-0.349588	37.549762	0.028174	1.9
554	-0.219824	37.519913	0.028605	2.3
555	-0.201412	37.490128	0.031224	2.3
556	-0.156355	37.460405	0.018325	2.2
557	-0.522944	37.430745	0.025798	2.3
558	-0.252680	37.401148	0.008786	2.4
559	-0.128156	37.371613	0.022710	2.5
560	-0.405949	37.342140	0.020869	2.0
561	-0.311934	37.312729	0.021055	2.0
562	-0.157348	37.283380	0.011737	2.0
563	-0.208448	37.254092	0.021085	2.1
564	-0.068554	37.224865	0.008597	2.1
565	-0.270756	37.195700	0.007174	2.0
566	-0.230724	37.166595	0.021757	1.9
567	-0.178661	37.137551	0.029631	1.7
568	-0.135695	37.108568	0.016575	1.8
569	-0.385977	37.079644	0.031248	1.9
570	-0.220733	37.050781	0.020698	1.8
571	-0.168845	37.021978	0.036276	2.2
572	-0.205149	36.993234	0.017783	2.5
573	-0.137913	36.964550	0.006326	2.0
574	-0.296689	36.935925	0.031540	1.9
575	-0.280439	36.907358	0.011973	1.8
576	-0.221070	36.878851	0.012407	1.8
577	-0.291433	36.850403	0.021677	1.8
578	-0.246739	36.822012	0.026495	1.8
579	-0.291523	36.793681	0.020080	1.8
580	-0.116198	36.765407	0.012924	2.3
581	-0.095653	36.737191	0.023432	2.0
582	-0.101616	36.709033	0.020736	2.2
583	-0.183160	36.680932	0.020793	2.0
584	-0.263788	36.652888	0.030776	2.4
585	-0.224608	36.624902	0.026740	3.0
586	-0.160912	36.596972	0.009808	3.2
587	-0.114472	36.569099	0.014122	3.7
588	-0.145896	36.541283	0.014140	2.5
589	-0.261049	36.513523	0.016367	2.2
590	-0.282793	36.485820	0.017256	1.9
591	-0.086520	36.458172	0.025794	1.7
592	-0.120974	36.430580	0.018816	2.3
593	-0.066081	36.403043	0.016995	2.1
594	-0.233926	36.375563	0.017857	1.9
595	-0.191684	36.348137	0.008552	1.7
