1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
81	-0.336428	-0.336428	19.916864	1853.045474	0.003458	0.003458	13.6	14.8
82	-0.355991	-0.355991	20.916862	1808.837914	0.003643	0.003643	11.4	12.4
83	-0.326978	-0.326978	19.993505	1849.581039	0.003355	0.003355	11.3	12.4
84	-0.362154	-0.362154	19.070111	1892.203636	0.003883	0.003883	11.4	12.5
85	-0.360237	-0.360237	18.201451	1934.132729	0.003814	0.003814	11.5	12.9
86	-0.349488	-0.349488	17.293601	1979.986402	0.003480	0.003480	13.1	14.3
87	-0.350214	-0.350214	18.293600	1929.596904	0.003572	0.003572	12.2	13.3
88	-0.364075	-0.364075	17.370475	1976.019577	0.003850	0.003850	12.9	13.8
89	-0.356263	-0.356263	17.628502	1962.820368	0.003480	0.003480	12.5	13.7
90	-0.362019	-0.362019	18.628499	1913.289970	0.003487	0.003487	11.9	13.2
91	-0.351206	-0.351206	17.705105	1958.935644	0.003591	0.003591	11.8	12.8
92	-0.356120	-0.356120	18.701493	1909.772276	0.003584	0.003584	11.2	12.3
93	-0.355781	-0.355781	19.701493	1862.850845	0.003150	0.003150	11.5	12.5
94	-0.350100	-0.350100	20.701493	1818.179762	0.003343	0.003343	11.7	12.8
95	-0.345742	-0.345742	21.701392	1775.605102	0.003628	0.003628	11.7	12.7
96	-0.348570	-0.348570	20.777998	1814.850239	0.003581	0.003581	11.8	13.2
97	-0.356294	-0.356294	21.775974	1772.509254	0.003395	0.003395	11.2	12.5
98	-0.327755	-0.327755	22.775974	1732.018796	0.003637	0.003637	11.8	12.8
99	-0.344566	-0.344566	23.774403	1693.396342	0.003397	0.003397	11.8	12.8
100	-0.364680	-0.364680	22.864755	1728.513247	0.004025	0.004025	11.3	12.6
101	-0.356679	-0.356679	21.941361	1765.682513	0.003255	0.003255	10.9	12.3
102	-0.364739	-0.364739	21.017967	1804.485457	0.003521	0.003521	11.9	12.7
103	-0.383919	-0.383919	22.017967	1762.538206	0.003689	0.003689	11.7	12.6
104	-0.352804	-0.352804	21.095704	1801.153156	0.003606	0.003606	11.6	12.7
105	-0.356937	-0.356937	22.095704	1759.358894	0.003386	0.003386	12.0	13.4
106	-0.359627	-0.359627	23.095503	1719.468070	0.003679	0.003679	10.9	12.2
107	-0.369804	-0.369804	23.448390	1705.816772	0.003931	0.003931	11.4	12.6
108	-0.338787	-0.338787	22.527491	1741.906273	0.003573	0.003573	10.4	11.4
109	-0.362367	-0.362367	21.604121	1779.659037	0.003804	0.003804	11.1	12.4
110	-0.330910	-0.330910	22.478030	1743.887872	0.003253	0.003253	11.6	12.9
111	-0.349188	-0.349188	21.559176	1781.538500	0.003182	0.003182	11.8	13.0
112	-0.372990	-0.372990	20.670056	1819.551426	0.003736	0.003736	11.2	12.1
113	-0.357023	-0.357023	19.746764	1860.781155	0.003788	0.003788	11.3	12.2
114	-0.357496	-0.357496	18.823395	1903.926296	0.003295	0.003295	11.6	12.6
115	-0.319732	-0.319732	18.239333	1932.265524	0.004031	0.004031	12.2	13.3
116	-0.380017	-0.380017	19.239333	1884.246204	0.003495	0.003495	12.4	13.8
117	-0.356631	-0.356631	20.239249	1838.559426	0.003632	0.003632	12.0	13.3
118	-0.367766	-0.367766	21.233736	1795.266479	0.003311	0.003311	11.8	12.7
119	-0.332539	-0.332539	20.310342	1835.395376	0.003855	0.003855	12.6	13.5
120	-0.340619	-0.340619	19.386961	1877.358634	0.003375	0.003375	12.9	13.8
121	-0.353476	-0.353476	20.378080	1832.390735	0.003482	0.003482	12.6	13.7
