1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
225	-0.259454	2.210881	0.441824	0.039584	2.2
226	-0.177558	2.220707	0.441637	0.010982	2.3
227	-0.168225	2.230533	0.441450	0.014645	2.8
228	-0.247949	2.240359	0.441263	0.029684	2.6
229	-0.121955	2.250185	0.441077	0.021574	2.3
230	-0.153154	2.260011	0.440890	0.026971	2.4
231	-0.110775	2.269838	0.440704	0.027177	2.2
232	-0.329974	2.279664	0.440518	0.030660	3.3
233	-0.183411	2.289490	0.440332	0.028143	2.5
234	-0.112687	2.299316	0.440147	0.034460	2.9
235	-0.204266	2.309142	0.439961	0.015162	2.4
236	-0.183190	2.318968	0.439776	0.016020	2.3
237	-0.244195	2.328794	0.439590	0.041056	2.2
238	-0.192153	2.338621	0.439405	0.036818	2.3
239	-0.223256	2.348447	0.439220	0.014870	2.7
240	-0.201490	2.358273	0.439036	0.022966	2.2
241	-0.320883	2.368099	0.438851	0.027541	2.5
242	-0.216842	2.377925	0.438667	0.037864	2.6
243	-0.225631	2.387751	0.438482	0.022229	2.4
244	-0.178397	2.397577	0.438298	0.032230	2.5
245	-0.235607	2.407403	0.438114	0.034200	2.2
246	-0.224317	2.417230	0.437930	0.031314	2.5
247	-0.252657	2.427056	0.437747	0.027844	2.7
248	-0.245895	2.436882	0.437563	0.017642	2.6
249	-0.140275	2.446708	0.437380	0.032341	2.9
250	-0.272266	2.456534	0.437196	0.019180	2.2
251	-0.247922	2.466360	0.437013	0.041415	3.2
252	-0.126701	2.476186	0.436830	0.026448	2.5
253	-0.163041	2.486013	0.436648	0.015206	2.4
254	-0.213204	2.495839	0.436465	0.038994	2.2
255	-0.172777	2.505665	0.436283	0.029502	2.2
256	-0.217311	2.515491	0.436100	0.038512	2.4
257	-0.243775	2.525317	0.435918	0.029346	2.2
258	-0.324173	2.535143	0.435736	0.036570	2.5
259	-0.118788	2.544969	0.435554	0.014968	2.4
260	-0.189163	2.554796	0.435373	0.017760	2.2
261	-0.256347	2.564622	0.435191	0.054104	2.4
262	-0.136555	2.574448	0.435010	0.010238	2.1
263	-0.239063	2.584274	0.434828	0.049206	2.3
264	-0.194713	2.594100	0.434647	0.066156	2.5
265	-0.189969	2.603926	0.434466	0.031154	2.7
266	-0.281295	2.613752	0.434286	0.036002	2.7
267	-0.177716	2.623578	0.434105	0.014056	2.3
268	-0.108587	2.633405	0.433925	0.022278	2.3
269	-0.256507	2.643231	0.433744	0.041979	2.2
270	-0.211440	2.653057	0.433564	0.034147	2.2
271	-0.210956	2.662883	0.433384	0.033684	2.4
272	-0.236473	2.672709	0.433204	0.008523	2.2
273	-0.208974	2.682535	0.433024	0.042890	2.4
274	-0.218225	2.692361	0.432845	0.027956	2.4
275	-0.133892	2.702188	0.432665	0.025966	2.2
276	-0.162833	2.712014	0.432486	0.029767	2.7
277	-0.146572	2.721840	0.432307	0.025013	2.2
278	-0.083814	2.731666	0.432128	0.020033	2.5
279	-0.174586	2.741492	0.431949	0.023664	2.2
280	-0.200320	2.751318	0.431770	0.028114	2.3
281	-0.203213	2.761144	0.431592	0.024015	2.7
282	-0.238781	2.770971	0.431413	0.030659	2.6
283	-0.196340	2.780797	0.431235	0.021725	2.6
284	-0.163099	2.790623	0.431057	0.023035	2.4
285	-0.166225	2.800449	0.430879	0.041433	2.3
286	-0.167253	2.810275	0.430701	0.016316	2.5
287	-0.210748	2.820101	0.430524	0.043137	2.2
288	-0.117989	2.829927	0.430346	0.012211	2.4
289	-0.127449	2.839753	0.430169	0.015958	2.2
290	-0.188687	2.849580	0.429991	0.016152	2.3
291	-0.250564	2.859406	0.429814	0.023898	3.1
292	-0.270845	2.869232	0.429637	0.031766	2.3
293	-0.310762	2.879058	0.429461	0.026961	2.4
294	-0.153591	2.888884	0.429284	0.028134	2.5
295	-0.218565	2.898710	0.429107	0.024717	2.5
296	-0.143413	2.908536	0.428931	0.032775	2.6
297	-0.196820	2.918363	0.428755	0.047498	2.5
298	-0.294874	2.928189	0.428579	0.026475	3.1
299	-0.235253	2.938015	0.428403	0.029532	2.8
300	-0.148511	2.947841	0.428227	0.011575	2.6
301	-0.134688	2.957667	0.428051	0.035375	2.2
302	-0.162319	2.967493	0.427876	0.038842	2.4
303	-0.174075	2.977319	0.427701	0.029134	2.2
304	-0.228662	2.987146	0.427525	0.007112	2.2
305	-0.219437	2.996972	0.427350	0.027066	2.5
306	-0.174069	3.006798	0.427175	0.033116	2.2
307	-0.153878	3.016624	0.427001	0.017045	2.3
308	-0.135807	3.026450	0.426826	0.036784	3.3
309	-0.083088	3.036276	0.426652	0.010623	2.7
310	-0.293765	3.046102	0.426477	0.025038	2.4
311	-0.160161	3.055928	0.426303	0.020397	2.2
312	-0.285778	3.065755	0.426129	0.022184	2.5
313	-0.140901	3.075581	0.425955	0.041977	2.3
314	-0.294226	3.085407	0.425781	0.028226	2.4
315	-0.187039	3.095233	0.425608	0.032704	3.2
316	-0.238510	3.105059	0.425434	0.028215	2.5
317	-0.228477	3.114885	0.425261	0.014823	2.7
318	-0.242974	3.124711	0.425088	0.031449	2.2
319	-0.145767	3.134538	0.424914	0.012562	2.3
320	-0.182006	3.144364	0.424742	0.020280	2.2
321	-0.204525	3.154190	0.424569	0.025128	2.2
322	-0.140135	3.164016	0.424396	0.042514	3.0
323	-0.109317	3.173842	0.424224	0.010247	2.3
324	-0.108233	3.183668	0.424051	0.006184	2.3
325	-0.170176	3.193494	0.423879	0.028538	2.2
326	-0.165822	3.203321	0.423707	0.015610	2.2
327	-0.250111	3.213147	0.423535	0.036435	2.6
328	-0.175170	3.222973	0.423363	0.017792	2.2
329	-0.142061	3.232799	0.423191	0.020191	2.4
330	-0.068891	3.242625	0.423020	0.013435	2.2
331	-0.236419	3.252451	0.422849	0.023022	2.3
332	-0.297973	3.262277	0.422677	0.020145	2.6
333	-0.229810	3.272103	0.422506	0.018863	2.2
334	-0.199322	3.281930	0.422335	0.036821	2.5
335	-0.130948	3.291756	0.422164	0.013631	2.6
336	-0.124823	3.301582	0.421994	0.012423	2.5
337	-0.299805	3.311408	0.421823	0.026569	2.6
338	-0.124873	3.321234	0.421653	0.023713	2.5
339	-0.201041	3.331060	0.421482	0.028055	2.4
340	-0.121694	3.340886	0.421312	0.014815	2.4
341	-0.131023	3.350713	0.421142	0.024515	2.2
342	-0.173568	3.360539	0.420972	0.036597	2.4
343	-0.154157	3.370365	0.420803	0.034623	2.2
344	-0.188584	3.380191	0.420633	0.015103	2.5
345	-0.155793	3.390017	0.420464	0.028625	2.2
346	-0.226298	3.399843	0.420294	0.037929	2.2
347	-0.177848	3.409669	0.420125	0.023678	2.5
348	-0.200621	3.419496	0.419956	0.015688	2.4
349	-0.142761	3.429322	0.419787	0.011465	2.6
350	-0.129381	3.439148	0.419618	0.018903	2.2
351	-0.112462	3.448974	0.419450	0.015402	2.2
352	-0.274980	3.458800	0.419281	0.035501	2.7
353	-0.151937	3.468626	0.419113	0.028254	2.5
354	-0.225683	3.478452	0.418945	0.026686	2.6
355	-0.154005	3.488278	0.418776	0.018122	2.5
356	-0.180962	3.498105	0.418608	0.020475	2.3
357	-0.133149	3.507931	0.418441	0.010151	2.6
358	-0.157439	3.517757	0.418273	0.028514	2.2
359	-0.245867	3.527583	0.418105	0.016844	2.4
360	-0.204556	3.537409	0.417938	0.028351	2.2
361	-0.231674	3.547235	0.417771	0.035972	2.2
362	-0.099641	3.557061	0.417603	0.020045	2.4
363	-0.123796	3.566888	0.417436	0.034124	2.3
364	-0.285577	3.576714	0.417270	0.027691	3.5
365	-0.153777	3.586540	0.417103	0.019016	3.0
366	-0.189490	3.596366	0.416936	0.025209	2.7
367	-0.126371	3.606192	0.416770	0.027196	2.5
368	-0.270869	3.616018	0.416603	0.022756	2.6
369	-0.202301	3.625844	0.416437	0.021933	2.8
370	-0.154644	3.635671	0.416271	0.032847	2.4
371	-0.172017	3.645497	0.416105	0.020734	2.6
372	-0.153721	3.655323	0.415939	0.026932	2.2
373	-0.182499	3.665149	0.415773	0.024517	2.5
374	-0.217009	3.674975	0.415608	0.019987	2.3
375	-0.154664	3.684801	0.415442	0.014151	2.6
376	-0.233950	3.694627	0.415277	0.033802	2.4
377	-0.204509	3.704453	0.415112	0.030236	2.3
378	-0.259236	3.714280	0.414947	0.062058	2.7
379	-0.209841	3.724106	0.414782	0.023924	2.6
380	-0.216360	3.733932	0.414617	0.024148	2.4
381	-0.255033	3.743758	0.414453	0.042183	2.2
382	-0.183248	3.753584	0.414288	0.020743	2.2
383	-0.210544	3.763410	0.414124	0.022528	2.7
384	-0.205237	3.773236	0.413959	0.023503	2.2
385	-0.108820	3.783063	0.413795	0.017361	2.4
386	-0.256112	3.792889	0.413631	0.030152	2.3
387	-0.125198	3.802715	0.413467	0.037882	2.5
388	-0.119573	3.812541	0.413304	0.013066	3.1
389	-0.114098	3.822367	0.413140	0.016780	2.8
390	-0.118021	3.832193	0.412977	0.016761	2.6
391	-0.175045	3.842019	0.412813	0.016604	2.2
392	-0.189977	3.851846	0.412650	0.015154	2.6
393	-0.172702	3.861672	0.412487	0.022318	2.8
394	-0.252751	3.871498	0.412324	0.044340	2.6
395	-0.198449	3.881324	0.412161	0.028490	3.0
396	-0.123332	3.891150	0.411998	0.036769	2.6
397	-0.206391	3.900976	0.411836	0.025584	2.8
398	-0.307348	3.910802	0.411673	0.024062	2.4
399	-0.203319	3.920628	0.411511	0.032071	2.5
400	-0.226118	3.930455	0.411349	0.029195	2.4
401	-0.177459	3.940281	0.411187	0.021831	2.3
402	-0.120772	3.950107	0.411025	0.017213	2.7
403	-0.239694	3.959933	0.410863	0.030621	2.2
404	-0.250521	3.969759	0.410701	0.021130	2.4
405	-0.268127	3.979585	0.410540	0.016151	2.2
406	-0.193961	3.989411	0.410378	0.037287	2.2
407	-0.196296	3.999238	0.410217	0.011155	2.3
408	-0.143765	4.009064	0.410056	0.017318	2.4
409	-0.175976	4.018890	0.409895	0.024696	2.4
410	-0.149800	4.028716	0.409734	0.017651	2.2
411	-0.143145	4.038542	0.409573	0.026285	2.5
412	-0.237633	4.048368	0.409412	0.020568	3.6
413	-0.263410	4.058194	0.409252	0.051073	2.6
