parameter_file,target,atlas,similarity,dice,hd,hd95,recall,fpr,fnr
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p115,p107,most,0.6540969351041642,19.772300720214844,9.265886306762695,0.6892139134279086,0.008379517831282799,0.31078608001320907
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p109,p119,least,0.6946522859474363,27.054664611816406,12.71197509765625,0.7540259470884492,0.015529109995697912,0.2459740493233604
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p109,p127,middle,0.5707196487212354,30.597429275512695,17.637309455871584,0.7426330820359098,0.023169536115292513,0.25736691305363246
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p109,p117,most,0.5754608986011523,44.187522888183594,24.154288482666015,0.8032767939028008,0.02375491322881659,0.19672320060658546
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p108,p120,least,0.8793300934155501,9.110193252563477,3.7186405658721924,0.884264718174862,0.009913625628747093,0.1157352800461552
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p108,p115,middle,0.0,47.11286163330078,39.09111499786376,0.0,0.07623497185168562,0.9999999967173832
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p108,p117,most,0.42830116861487105,30.4585018157959,24.25150079727173,0.7297555985863206,0.052644532584400223,0.2702443971780067
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p107,p120,least,0.8006174211069096,16.295124053955078,4.979511737823486,0.7571880604369143,0.003929274126160988,0.2428119350294598
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p107,p128,middle,0.7760344798386227,15.971945762634277,6.115370750427246,0.6978587556277791,0.003298894331011923,0.30214124031145567
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p107,p115,most,0.7730583044622045,14.216854095458984,5.98339719772335,0.7146773473326857,0.0041310783285693365,0.28532264835006566
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p102,p128,least,0.6136816655243824,28.3538761138916,15.06318745613095,0.5258012702784999,0.007637578796119558,0.4741987264244237
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p102,p127,middle,0.7637999148877579,23.993881225585938,8.031014442443848,0.7025084434503511,0.004707394513818589,0.29749155267080846
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p102,p116,most,0.7091993740615009,23.941431045532227,8.621286392211914,0.5623487486875477,0.0011755432878121307,0.43765124860552096
"['Par0001affine.txt', 'Par0001bspline16.txt']",p128,p120,least,0.8937310220218555,18.31175422668457,4.049415588378906,0.8795256302736733,0.005615775357255441,0.12047436756263484
"['Par0001affine.txt', 'Par0001bspline16.txt']",p128,p108,middle,0.8831175273133429,14.953350067138672,3.850750207901001,0.8544854937848912,0.005300733041684435,0.14551450412528394
"['Par0001affine.txt', 'Par0001bspline16.txt']",p128,p107,most,0.0,1.8446742974197924e+19,1.8446742974197924e+19,0.0,0.05765840498642574,0.0
"['Par0001affine.txt', 'Par0001bspline16.txt']",p127,p120,least,0.00011274103800855814,126.74793243408203,98.23862380981444,8.088903252384353e-05,0.02880574647250083,0.9999191088933984
