parameter_file,fusion_method,target,atlas,dice,hd,hd95,recall,fpr,fnr,NrOfAtlases
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.899863623934033,20.37282943725586,3.9062347412109375,0.9484756617626542,0.008759081424108972,0.05152433576116674,9.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.8977057075519167,20.37282943725586,3.9366493105888365,0.9591983978189047,0.009498142814260768,0.040801599640206014,10.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.9137825399950267,19.176671981811523,3.1549437046051025,0.9464081747788061,0.007109531063040212,0.05359182282688469,11.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.8449246143816312,19.537229537963867,5.730771064758301,0.8603243113140819,0.010375275183786496,0.1396756863697253,1.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.7229245585368985,24.244691848754883,16.26626205444336,0.6402795962209894,0.010589660338950785,0.3597204020552292,2.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.7136219701848189,20.206283569335938,8.114786148071289,0.8844689554833575,0.024113525001915513,0.11553104121188444,3.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.8777678648614473,18.347896575927734,4.441712856292725,0.8918044410757878,0.00829543275465668,0.10819555661800832,4.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.87238547616771,18.347896575927734,5.258935928344727,0.9374677350129109,0.011184539404561404,0.06253226241892362,5.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.8990864829071324,18.347896575927734,3.594569444656372,0.918547582100455,0.007297341714788377,0.08145241556806995,6.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.8832912266238601,20.37282943725586,4.83372688293457,0.9467238438090078,0.010454411734552463,0.05327615363529078,7.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.9054404104897951,18.347896575927734,3.692720413208008,0.9320527996080494,0.007298868218601264,0.06794719802585387,8.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.899863623934033,20.37282943725586,3.9062347412109375,0.9484756617626542,0.008759081424108972,0.05152433576116674,9.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.913463187854061,18.347896575927734,3.156021475791931,0.9360291526383362,0.006591601181733741,0.06397084501651956,10.0
['Par0001translation.txt', 'Par0001bspline16.txt'],SIMPLE,p128,fused_atlas,0.9137825399950267,19.176671981811523,3.1549437046051025,0.9464081747788061,0.007109531063040212,0.05359182282688469,11.0
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,fused_atlas,0.8449246143816312,19.537229537963867,5.730771064758301,0.8603243113140819,0.010375275183786496,0.1396756863697253,1.0
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,fused_atlas,0.0017189344327210065,57.18233871459961,41.15957889556885,0.052469128761523244,0.05766339250216441,0.9475307370463315,2.0
